name,address,읍면뒤_리없음,리동뒤_nan_문제
중문색달해수욕장,제주특별자치도 서귀포시 색달동 nan nan,False,True
협재해수욕장,제주특별자치도 제주시 한림읍 협재리 nan,False,True
김녕해수욕장,제주특별자치도 제주시 구좌읍 김녕리 nan,False,True
표선해수욕장,제주특별자치도 서귀포시 표선면 표선리 nan,False,True
하모해수욕장,제주특별자치도 서귀포시 대정읍 하모리 nan,False,True
이호테우해수욕장,제주특별자치도 제주시 이호일동 nan nan,False,True
화순금모래해수욕장,제주특별자치도 서귀포시 안덕면 화순리 nan,False,True
검멀레해수욕장,제주특별자치도 제주시 우도면 연평리 nan,False,True
세화해수욕장,제주특별자치도 제주시 구좌읍 세화리 nan,False,True
하고수동해수욕장,제주특별자치도 제주시 우도면 연평리 nan,False,True
하도해수욕장,제주특별자치도 제주시 구좌읍 하도리 nan,False,True
서빈백사해수욕장,제주특별자치도 제주시 우도면 연평리 nan,False,True
사계해안,제주특별자치도 서귀포시 안덕면 사계리 nan,False,True
소정방폭포,제주특별자치도 서귀포시 동홍동 nan nan,False,True
동굴유적지,제주특별자치도 서귀포시 색달동 nan nan,False,True
연혼포,제주특별자치도 서귀포시 성산읍 온평리 nan,False,True
방사탑,제주특별자치도 제주시 조천읍 신흥리 nan,False,True
옹포해안도로,제주특별자치도 제주시 한림읍 동명리 nan,False,True
하효쇠소깍해수욕장,제주특별자치도 서귀포시 하효동 nan nan,False,True
월정리해수욕장,제주특별자치도 제주시 구좌읍 월정리 nan,False,True
한담해변,제주특별자치도 제주시 애월읍 애월리 nan,False,True
황우치해변,제주특별자치도 서귀포시 안덕면 사계리 nan,False,True
모진이해수욕장,제주특별자치도 제주시 추자면 신양리 nan,False,True
평대해수욕장,제주특별자치도 제주시 구좌읍 평대리 nan,False,True
제주오션파크,제주특별자치도 서귀포시 성산읍 시흥리 nan,False,True
제주올레걷기축제,제주특별자치도 제주시 구좌읍 김녕리 nan,False,True
수월봉앤차귀해안,제주특별자치도 제주시 한경면 고산리 nan,False,True
광치기해변,제주특별자치도 서귀포시 성산읍 고성리 nan,False,True
신산환해장성,제주특별자치도 서귀포시 성산읍 신산리 nan,False,True
성산환해장성,제주특별자치도 서귀포시 성산읍 신산리 nan,False,True
서귀포겨울바다펭귄수영대회,제주특별자치도 서귀포시 색달동 nan nan,False,True
표선해비치해변하얀모래축제,제주특별자치도 서귀포시 표선면 표선리 nan,False,True
제주이호테우축제,제주특별자치도 제주시 이호일동 nan nan,False,True
제주헬스케어타운,제주특별자치도 서귀포시 동홍동 nan nan,False,True
알작지해변,제주특별자치도 제주시 내도동 nan nan,False,True
엉알해안,제주특별자치도 제주시 한경면 고산리 nan,False,True
종달리해변,제주특별자치도 제주시 구좌읍 종달리 nan,False,True
후포해변,제주특별자치도 제주시 추자면 대서리 nan,False,True
신대해안,제주특별자치도 제주시 추자면 예초리 nan,False,True
해병대길,제주특별자치도 서귀포시 표선면 토산리 nan,False,True
해병대길,제주특별자치도 서귀포시 색달동 nan nan,False,True
세기알해변,제주특별자치도 제주시 구좌읍 김녕리 nan,False,True
북촌환해장성,제주특별자치도 제주시 조천읍 북촌리 nan,False,True
